[0]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 'x', 'valid_out': 0, 'stuff_error': 0}

[1]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[2]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[3]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[4]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[5]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[6]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 0, 'stuff_error': 1}

[7]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[8]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[9]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[10]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[11]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[12]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 0, 'stuff_error': 1}

[13]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[14]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[15]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[16]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[17]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[18]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 0, 'stuff_error': 1}

[19]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[20]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[21]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

[22]th value : {'rst_n': 1, 'bit_in': 0, 'valid_in': 1, 'bit_out': 0, 'valid_out': 1, 'stuff_error': 0}

