Running Test: All 0's
[CMP 1] EXP=0 ACT=0 PASS
[CMP 2] EXP=0 ACT=0 PASS
[CMP 3] EXP=0 ACT=0 PASS
[CMP 4] EXP=0 ACT=0 PASS
[CMP 5] EXP=0 ACT=0 PASS
[CMP 6] EXP=1 ACT=1 PASS
[CMP 7] EXP=0 ACT=0 PASS
[CMP 8] EXP=0 ACT=0 PASS
[CMP 9] EXP=0 ACT=0 PASS
[CMP 10] EXP=0 ACT=0 PASS
[CYCLE 12] Stuffed/output-only cycle. ACT=0
[CMP 11] EXP=0 ACT=0 PASS
[CMP 12] EXP=1 ACT=1 PASS
[CMP 13] EXP=0 ACT=0 PASS
[CMP 14] EXP=0 ACT=0 PASS
[CMP 15] EXP=0 ACT=0 PASS
[CMP 16] EXP=0 ACT=0 PASS
[CYCLE 17] Stuffed/output-only cycle. ACT=0
[CMP 17] EXP=0 ACT=0 PASS
[CMP 18] EXP=1 ACT=1 PASS
[CMP 19] EXP=0 ACT=0 PASS
[CMP 20] EXP=0 ACT=0 PASS
[CMP 21] EXP=0 ACT=0 PASS
[CMP 22] EXP=0 ACT=0 PASS
[CYCLE 22] Stuffed/output-only cycle. ACT=0
[CMP 23] EXP=0 ACT=0 PASS
[CMP 24] EXP=1 ACT=1 PASS
[CMP 25] EXP=0 ACT=0 PASS
[CMP 26] EXP=0 ACT=0 PASS
[CMP 27] EXP=0 ACT=0 PASS
[CMP 28] EXP=0 ACT=0 PASS
[CYCLE 27] Stuffed/output-only cycle. ACT=0
[CMP 29] EXP=0 ACT=0 PASS
[CMP 30] EXP=1 ACT=1 PASS
[CMP 31] EXP=0 ACT=0 PASS
[CMP 32] EXP=0 ACT=0 PASS
[CMP 33] EXP=0 ACT=0 PASS
[CMP 34] EXP=0 ACT=0 PASS
[CYCLE 32] Stuffed/output-only cycle. ACT=0
[CMP 35] EXP=0 ACT=0 PASS
[CMP 36] EXP=1 ACT=1 PASS
[CMP 37] EXP=0 ACT=0 PASS
[CMP 38] EXP=0 ACT=0 PASS
[CMP 39] EXP=0 ACT=0 PASS
[CMP 40] EXP=0 ACT=0 PASS
[CYCLE 37] Stuffed/output-only cycle. ACT=0
[CMP 41] EXP=0 ACT=0 PASS
[CMP 42] EXP=1 ACT=1 PASS
[CMP 43] EXP=0 ACT=0 PASS
[CMP 44] EXP=0 ACT=0 PASS
[CMP 45] EXP=0 ACT=0 PASS
[CMP 46] EXP=0 ACT=0 PASS
[CYCLE 42] Stuffed/output-only cycle. ACT=0
[CMP 47] EXP=0 ACT=0 PASS
[CMP 48] EXP=1 ACT=1 PASS
[CMP 49] EXP=0 ACT=0 PASS
[CMP 50] EXP=0 ACT=0 PASS
[CMP 51] EXP=0 ACT=0 PASS
[CMP 52] EXP=0 ACT=0 PASS
[CYCLE 47] Stuffed/output-only cycle. ACT=0
[CMP 53] EXP=0 ACT=0 PASS
[CMP 54] EXP=1 ACT=1 PASS
[CMP 55] EXP=0 ACT=0 PASS
[CMP 56] EXP=0 ACT=0 PASS
[CMP 57] EXP=0 ACT=0 PASS
[CMP 58] EXP=0 ACT=0 PASS
[CYCLE 52] Stuffed/output-only cycle. ACT=0
[CMP 59] EXP=0 ACT=0 PASS
[CMP 60] EXP=1 ACT=1 PASS
[CMP 61] EXP=0 ACT=0 PASS
[CMP 62] EXP=0 ACT=0 PASS
[CMP 63] EXP=0 ACT=0 PASS
[CMP 64] EXP=0 ACT=0 PASS
[CYCLE 57] Stuffed/output-only cycle. ACT=0
